rev,n,total,mean,sd
93478b63d,961,3213.75,3.34,1.95
bbf55c480,959,3207.75,3.34,1.95
ff7ec82c4,962,3218.0,3.35,1.95
dad961ef5,963,3218.0,3.34,1.96
47b65a550,967,3231.0,3.34,1.95
67e02fa8a,969,3237.0,3.34,1.95
15310b510,966,3226.0,3.34,1.95
029c71de1,966,3226.0,3.34,1.95
760e9f71a,968,3236.0,3.34,1.96
2eedede87,976,3257.0,3.34,1.95
6fc4e6e07,977,3260.0,3.34,1.95
98cef6a22,978,3263.0,3.34,1.95
4ca65a976,979,3263.0,3.33,1.95
008cf886c,989,3294.0,3.33,1.94
29f49cd6e,999,3320.0,3.32,1.93
9f68e00d2,1003,3326.0,3.32,1.93
b1f3e1895,1002,3320.0,3.31,1.93
8baa45493,1008,3304.0,3.28,1.93
f842a7aff,997,3238.0,3.25,1.9
c16369455,1005,3266.0,3.25,1.9
1c1bb388e,1016,3286.0,3.23,1.9
1009e93c5,1019,3307.0,3.25,1.9
9b8c8ba11,1027,3329.5,3.24,1.9
1a2aef3e5,1033,3344.5,3.24,1.9
c2ec430ab,1037,3368.0,3.25,1.9
be76e5aab,1048,3398.0,3.24,1.9
157020386,1056,3419.0,3.24,1.89
563649aaf,1052,3395.5,3.23,1.88
f5d72b2fc,1055,3396.5,3.22,1.87
63e39937f,1052,3384.5,3.22,1.87
303d44790,1056,3396.5,3.22,1.87
26aa325f4,1058,3400.5,3.21,1.87
dac914b0d,1063,3416.5,3.21,1.87
c8f26bb63,1058,3400.5,3.21,1.87
e808156f3,1059,3402.5,3.21,1.87
7342a7d7f,1056,3384.5,3.21,1.87
8baf85e4e,1058,3388.5,3.2,1.87
7e7eae338,1059,3375.5,3.19,1.85
776dbd74f,1061,3381.5,3.19,1.85
81ede99ca,1058,3398.5,3.21,1.87
051eaf6db,1069,3428.5,3.21,1.87
82c25151e,1073,3440.5,3.21,1.86
b72990113,1076,3443.5,3.2,1.86
33bab4106,1086,3470.5,3.2,1.86
34a994162,1077,3447.25,3.2,1.86
81f09cfd8,1133,3667.25,3.24,1.88
3ea2dc2ec,1123,3612.25,3.22,1.86
e89379544,1124,3618.5,3.22,1.86
ac6b8f19b,1133,3642.5,3.21,1.86
a02a50e6e,1136,3643.5,3.21,1.86
aa9078fa0,1137,3643.5,3.2,1.86
b09895a61,1145,3684.5,3.22,1.88
73b9083e9,1142,3681.5,3.22,1.87
9cdba9669,1146,3693.5,3.22,1.87
8a06428c7,1151,3713.5,3.23,1.87
032fcf16a,1151,3713.5,3.23,1.87
972112d82,1151,3713.5,3.23,1.87
2ac6d0e75,1102,3514.5,3.19,1.84
26908554b,1102,3514.5,3.19,1.84
f2056f726,1102,3514.5,3.19,1.84
32e46e000,1092,3487.5,3.19,1.85
5390d6664,1092,3487.5,3.19,1.85
803f37eaa,1108,3583.75,3.23,1.88
b4be5a8ad,1112,3597.75,3.24,1.88
7560ae5ca,1115,3618.75,3.25,1.89
a111d0151,1123,3638.75,3.24,1.88
25d806e95,1129,3653.75,3.24,1.88
c27df94e1,1129,3653.75,3.24,1.88
519e8e418,1170,3778.75,3.23,1.88
9a99273b4,1173,3787.75,3.23,1.87
d9b4b3f06,1177,3790.75,3.22,1.86
0590ec3fd,1185,3825.75,3.23,1.87
9323a3153,1186,3828.75,3.23,1.87
aa39a8e17,1186,3828.75,3.23,1.87
69d357ba1,1187,3835.75,3.23,1.87
fd57d2b53,1184,3826.75,3.23,1.88
a11f32652,1183,3823.75,3.23,1.88
134810b3d,1186,3814.25,3.22,1.87
8f10d5e39,1187,3817.75,3.22,1.87
cad5c0a6e,1187,3817.75,3.22,1.87
4e1168336,1195,3838.75,3.21,1.86
00c1bde5d,1196,3844.75,3.21,1.86
9c3dadd1c,1205,3869.75,3.21,1.86
69ba344de,1205,3869.75,3.21,1.86
551603fef,1206,3872.75,3.21,1.86
e88db68cf,1202,3864.75,3.22,1.86
bf8717eba,1202,3867.25,3.22,1.86
866fa4550,1204,3881.25,3.22,1.87
fdea8ec16,1203,3878.25,3.22,1.87
5aef49806,1214,3908.25,3.22,1.86
995f56236,1216,3914.25,3.22,1.86
94d545a1a,1216,3914.25,3.22,1.86
32aa2059a,1216,3914.25,3.22,1.86
b12e87f94,1216,3918.25,3.22,1.86
ee77fdb5d,1216,3918.25,3.22,1.86
a4e2b2685,1222,3947.75,3.23,1.86
87054a57a,1222,3947.75,3.23,1.86
57e729e87,1222,3947.75,3.23,1.86
bf53e0c70,1222,3947.75,3.23,1.86
68ad4e3a8,1230,3983.75,3.24,1.87
96f6a7596,1230,3983.75,3.24,1.87
e97f802b2,1227,3974.75,3.24,1.87
0e74d797c,1237,4006.75,3.24,1.87
df5dafaa5,1231,3991.75,3.24,1.87
9ddc35220,1233,3997.75,3.24,1.87
ff7424f49,1245,4030.75,3.24,1.86
cabaf4eff,1245,4030.75,3.24,1.86
e489ad7a2,1246,4030.75,3.23,1.86
a1a2aaadb,1260,4069.75,3.23,1.85
2e3b969ec,1279,4112.75,3.22,1.84
3ee696a63,1281,4118.75,3.22,1.84
3bcb8c75d,1313,4202.75,3.2,1.83
